,Jugador,País,Posc,Edad,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
301,Santi Comesaña,es ESP,CC,27-161,12.5,30.0,17,9.0,15.0,6.0,13.0,29.0,44.8,16.0,29.0,8.0,21.0,18,48.0,17.0,1.0,Partidos
302,Alfonso Pedraza,es ESP,DF,27-340,10.6,23.0,8,16.0,5.0,2.0,9.0,17.0,52.9,8.0,13.0,5.0,8.0,11,34.0,17.0,0.0,Partidos
303,Ilias Akhomach,es ESP,"CC,DL",19-333,12.7,30.0,19,10.0,14.0,6.0,9.0,14.0,64.3,5.0,9.0,2.0,7.0,9,39.0,9.0,0.0,Partidos
304,Juan Foyth,ar ARG,DF,26-062,11.8,26.0,15,18.0,8.0,0.0,12.0,27.0,44.4,15.0,17.0,4.0,13.0,12,38.0,44.0,0.0,Partidos
305,Adrià Altimira,es ESP,"DF,CC",22-352,8.6,16.0,7,9.0,6.0,1.0,9.0,24.0,37.5,15.0,18.0,5.0,13.0,5,21.0,18.0,0.0,Partidos
306,José Luis Morales,es ESP,"DL,CC",36-235,9.9,5.0,3,1.0,4.0,0.0,3.0,12.0,25.0,9.0,8.0,0.0,8.0,6,11.0,4.0,0.0,Partidos
307,Kiko Femenía,es ESP,DF,33-041,9.6,20.0,15,11.0,8.0,1.0,13.0,22.0,59.1,9.0,11.0,5.0,6.0,18,38.0,24.0,0.0,Partidos
308,Aïssa Mandi,dz ALG,DF,32-144,8.6,9.0,5,6.0,3.0,0.0,7.0,12.0,58.3,5.0,6.0,4.0,2.0,7,16.0,31.0,0.0,Partidos
309,Yeremi Pino,es ESP,"CC,DL",21-146,5.3,25.0,18,12.0,10.0,3.0,9.0,18.0,50.0,9.0,11.0,1.0,10.0,5,30.0,5.0,0.0,Partidos
310,Eric Bailly,ci CIV,DF,29-337,6.3,4.0,3,3.0,1.0,0.0,2.0,2.0,100.0,0.0,4.0,4.0,0.0,8,12.0,27.0,2.0,Partidos
311,Francis Coquelin,fr FRA,CC,32-306,6.3,10.0,5,2.0,7.0,1.0,3.0,8.0,37.5,5.0,10.0,3.0,7.0,14,24.0,14.0,0.0,Partidos
312,Matteo Gabbia,it ITA,DF,24-145,5.3,10.0,6,4.0,6.0,0.0,5.0,8.0,62.5,3.0,5.0,2.0,3.0,8,18.0,36.0,1.0,Partidos
313,Ramón Terrats,es ESP,CC,23-148,6.9,9.0,6,2.0,6.0,1.0,1.0,8.0,12.5,7.0,6.0,0.0,6.0,3,12.0,4.0,0.0,Partidos
314,Yerson Mosquera,co COL,DF,22-317,4.2,7.0,3,4.0,2.0,1.0,3.0,3.0,100.0,0.0,2.0,0.0,2.0,2,9.0,26.0,0.0,Partidos
315,Gonçalo Guedes,pt POR,"DL,CC",27-106,3.8,2.0,2,0.0,2.0,0.0,1.0,2.0,50.0,1.0,3.0,0.0,3.0,0,2.0,1.0,0.0,Partidos
316,Ben Brereton,cl CHI,"DL,CC",24-331,3.0,2.0,2,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,Partidos
317,Carlos Romero,es ESP,DF,22-137,2.7,10.0,5,7.0,1.0,2.0,6.0,11.0,54.5,5.0,3.0,0.0,3.0,1,11.0,9.0,0.0,Partidos
318,Bertrand Traoré,bf BFA,CC,28-190,1.7,1.0,1,0.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0,1.0,1.0,0.0,Partidos
319,Manu Trigueros,es ESP,CC,32-149,2.3,6.0,4,5.0,1.0,0.0,3.0,6.0,50.0,3.0,1.0,1.0,0.0,2,8.0,6.0,0.0,Partidos
320,Denis Suárez,es ESP,"CC,DL",30-068,1.5,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0,0.0,4.0,0.0,Partidos
321,Pepe Reina,es ESP,PO,41-196,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
322,Stefan Lekovic,rs SRB,DF,20-065,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,Partidos
323,Pascu,es ESP,DL,20-340,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
324,Total del equipo,,,28.6,28.0,431.0,262,210.0,169.0,52.0,199.0,414.0,48.1,215.0,295.0,103.0,192.0,229,660.0,633.0,12.0,
325,Total del oponente,,,27.8,28.0,517.0,330,247.0,202.0,68.0,255.0,514.0,49.6,259.0,319.0,92.0,227.0,255,772.0,445.0,8.0,
326,David Soria,es ESP,PO,30-345,28.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,14.0,6.0,Partidos
327,Nemanja Maksimović,rs SRB,CC,29-048,26.4,45.0,33,16.0,23.0,6.0,16.0,28.0,57.1,12.0,45.0,21.0,24.0,39,84.0,49.0,0.0,Partidos
328,Borja Mayoral,es ESP,DL,26-344,23.9,9.0,5,2.0,2.0,5.0,5.0,22.0,22.7,17.0,7.0,0.0,7.0,4,13.0,16.0,0.0,Partidos
329,Gastón Álvarez,uy URU,DF,23-356,21.7,50.0,27,36.0,12.0,2.0,27.0,40.0,67.5,13.0,35.0,10.0,25.0,32,82.0,64.0,0.0,Partidos
330,Djené,tg TOG,"DF,CC",32-074,19.8,22.0,12,10.0,11.0,1.0,10.0,18.0,55.6,8.0,20.0,9.0,11.0,16,38.0,51.0,0.0,Partidos
331,Diego Rico,es ESP,DF,31-020,21.6,47.0,34,25.0,18.0,4.0,31.0,57.0,54.4,26.0,22.0,7.0,15.0,33,80.0,56.0,0.0,Partidos
332,Mason Greenwood,eng ENG,"CC,DL",22-165,19.6,6.0,2,1.0,3.0,2.0,2.0,10.0,20.0,8.0,5.0,0.0,5.0,3,9.0,2.0,0.0,Partidos
333,Jaime Mata,es ESP,"DL,CC",35-142,14.1,21.0,14,11.0,7.0,3.0,10.0,23.0,43.5,13.0,16.0,1.0,15.0,15,36.0,22.0,0.0,Partidos
334,Luis Milla,es ESP,CC,29-159,15.0,37.0,24,12.0,17.0,8.0,16.0,31.0,51.6,15.0,11.0,1.0,10.0,23,60.0,4.0,0.0,Partidos
335,Omar Alderete,py PAR,DF,27-079,14.9,18.0,14,13.0,5.0,0.0,13.0,21.0,61.9,8.0,21.0,13.0,8.0,7,25.0,75.0,0.0,Partidos
336,Damián Suárez,uy URU,DF,35-322,14.4,36.0,21,16.0,16.0,4.0,26.0,45.0,57.8,19.0,13.0,3.0,10.0,10,46.0,31.0,0.0,Partidos
337,Juanmi Latasa,es ESP,DL,22-357,13.6,6.0,4,0.0,5.0,1.0,0.0,9.0,0.0,9.0,5.0,0.0,5.0,3,9.0,16.0,0.0,Partidos
338,Iglesias,es ESP,"DF,DL",25-255,13.4,34.0,20,20.0,9.0,5.0,16.0,24.0,66.7,8.0,16.0,7.0,9.0,15,49.0,40.0,0.0,Partidos
339,Domingos Duarte,pt POR,DF,29-004,10.1,7.0,4,6.0,0.0,1.0,5.0,7.0,71.4,2.0,7.0,5.0,2.0,8,15.0,27.0,0.0,Partidos
340,Carles Aleñá,es ESP,"CC,DL",26-069,9.5,16.0,6,6.0,8.0,2.0,6.0,16.0,37.5,10.0,13.0,3.0,10.0,3,19.0,12.0,0.0,Partidos
341,Carmona,es ESP,"CC,DF",22-045,8.3,12.0,8,4.0,8.0,0.0,2.0,14.0,14.3,12.0,10.0,1.0,9.0,11,23.0,10.0,0.0,Partidos
342,Stefan Mitrović,rs SRB,DF,33-297,7.8,9.0,3,7.0,2.0,0.0,4.0,8.0,50.0,4.0,3.0,2.0,1.0,6,15.0,26.0,0.0,Partidos
343,Jordi,es ESP,CC,23-069,5.3,14.0,10,2.0,11.0,1.0,7.0,13.0,53.8,6.0,4.0,1.0,3.0,7,21.0,6.0,0.0,Partidos
344,Mauro Arambarri,uy URU,CC,28-166,3.8,6.0,2,3.0,2.0,1.0,1.0,6.0,16.7,5.0,1.0,0.0,1.0,2,8.0,7.0,0.0,Partidos
345,Ilaix Moriba,gn GUI,CC,21-055,2.6,7.0,1,1.0,3.0,3.0,2.0,5.0,40.0,3.0,1.0,0.0,1.0,3,10.0,4.0,0.0,Partidos
346,Óscar Rodríguez Arnaiz,es ESP,"CC,DL",25-260,4.1,9.0,5,1.0,6.0,2.0,2.0,5.0,40.0,3.0,3.0,0.0,3.0,4,13.0,3.0,0.0,Partidos
347,Jesús Santiago,es ESP,CC,19-294,1.9,3.0,1,0.0,1.0,2.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,0,3.0,0.0,0.0,Partidos
348,Enes Ünal,tr TUR,"DL,CC",26-309,1.6,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,0.0,2.0,0.0,Partidos
349,Fabrizio Angileri,ar ARG,"DF,CC",29-365,1.1,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2,2.0,5.0,0.0,Partidos
350,Portu,es ESP,DL,31-298,1.1,5.0,3,4.0,0.0,1.0,5.0,6.0,83.3,1.0,0.0,0.0,0.0,0,5.0,0.0,0.0,Partidos
351,Anthony Lozano,hn HON,"CC,DL",30-324,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,Partidos
352,Santiago García,,DL,22-198,0.3,1.0,0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Partidos
353,Gorka Rivera Alonso,es ESP,DF,19-226,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
354,Total del equipo,,,28.3,28.0,420.0,253,196.0,169.0,55.0,208.0,417.0,49.9,209.0,260.0,84.0,176.0,246,666.0,543.0,6.0,
355,Total del oponente,,,27.8,28.0,381.0,247,189.0,157.0,35.0,185.0,345.0,53.6,160.0,286.0,77.0,209.0,208,589.0,640.0,14.0,
356,Antonio Sivera,es ESP,PO,27-216,28.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,15.0,0.0,Partidos
357,Ander Guevara,es ESP,CC,26-251,26.4,45.0,26,22.0,18.0,5.0,26.0,54.0,48.1,28.0,23.0,8.0,15.0,12,57.0,40.0,1.0,Partidos
358,Luis Rioja,es ESP,"DL,CC",30-150,24.4,25.0,18,9.0,12.0,4.0,13.0,32.0,40.6,19.0,25.0,1.0,24.0,16,41.0,25.0,0.0,Partidos
359,Andoni Gorosabel,es ESP,DF,27-223,25.6,43.0,29,25.0,15.0,3.0,26.0,57.0,45.6,31.0,22.0,7.0,15.0,21,64.0,61.0,0.0,Partidos
360,Jon Guridi,es ESP,CC,29-015,22.4,30.0,18,7.0,19.0,4.0,8.0,36.0,22.2,28.0,21.0,3.0,18.0,13,43.0,15.0,0.0,Partidos
361,Rafa Marín,es ESP,DF,21-300,20.2,20.0,16,14.0,6.0,0.0,6.0,16.0,37.5,10.0,26.0,16.0,10.0,19,39.0,98.0,1.0,Partidos
362,Antonio Blanco,es ESP,CC,23-235,19.5,48.0,28,25.0,19.0,4.0,25.0,67.0,37.3,42.0,17.0,1.0,16.0,24,72.0,22.0,0.0,Partidos
363,Abdel Abqar,ma MAR,DF,25-004,18.2,21.0,9,16.0,3.0,2.0,12.0,22.0,54.5,10.0,17.0,13.0,4.0,15,36.0,84.0,0.0,Partidos
364,Javi López,es ESP,DF,22-073,18.8,15.0,8,7.0,6.0,2.0,10.0,19.0,52.6,9.0,15.0,4.0,11.0,4,19.0,59.0,1.0,Partidos
365,Samuel Omorodion,es ESP,DL,19-314,17.1,6.0,3,1.0,4.0,1.0,0.0,2.0,0.0,2.0,8.0,1.0,7.0,1,7.0,12.0,0.0,Partidos
366,Rubén Duarte,es ESP,DF,28-148,16.0,32.0,19,16.0,14.0,2.0,15.0,22.0,68.2,7.0,17.0,5.0,12.0,20,52.0,52.0,0.0,Partidos
367,Alex Sola,es ESP,"DL,CC",24-279,11.7,24.0,14,8.0,9.0,7.0,11.0,19.0,57.9,8.0,17.0,2.0,15.0,9,33.0,14.0,0.0,Partidos
368,Aleksandar Sedlar,rs SRB,DF,32-092,10.5,14.0,10,10.0,4.0,0.0,10.0,16.0,62.5,6.0,8.0,4.0,4.0,13,27.0,43.0,0.0,Partidos
369,Kiké,es ESP,"DL,CC",34-110,11.2,5.0,2,1.0,2.0,2.0,4.0,9.0,44.4,5.0,11.0,4.0,7.0,0,5.0,10.0,0.0,Partidos
370,Abderrahman Rebbach,dz ALG,"DL,CC",25-216,7.0,8.0,4,3.0,2.0,3.0,5.0,15.0,33.3,10.0,10.0,1.0,9.0,3,11.0,5.0,0.0,Partidos
371,Ianis Hagi,ro ROU,"CC,DL",25-144,6.4,10.0,8,2.0,7.0,1.0,3.0,10.0,30.0,7.0,6.0,0.0,6.0,2,12.0,4.0,0.0,Partidos
372,Carlos Benavídez,uy URU,CC,25-350,7.4,32.0,19,11.0,15.0,6.0,11.0,19.0,57.9,8.0,7.0,4.0,3.0,14,46.0,19.0,0.0,Partidos
373,Nahuel Tenaglia,ar ARG,DF,28-022,6.2,15.0,10,12.0,2.0,1.0,8.0,13.0,61.5,5.0,9.0,5.0,4.0,8,23.0,35.0,0.0,Partidos
374,Carlos Vicente,es ESP,"DL,CC",24-326,5.4,7.0,3,3.0,4.0,0.0,6.0,10.0,60.0,4.0,1.0,0.0,1.0,2,9.0,6.0,0.0,Partidos
375,Xeber,es ESP,"DL,CC",26-262,3.0,4.0,4,2.0,2.0,0.0,2.0,6.0,33.3,4.0,1.0,0.0,1.0,1,5.0,2.0,0.0,Partidos
376,Miguel,es ESP,"DL,CC",24-193,0.7,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0,0.0,0.0,0.0,Partidos
377,Giuliano Simeone,ar ARG,DL,21-087,0.8,1.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Partidos
378,Mamadou Sylla,sn SEN,"DL,CC",29-360,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,Partidos
379,Jon Karrikaburu,es ESP,"CC,DL",21-177,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
380,Tomás Mendes,es ESP,CC,19-114,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
381,Unai Ropero,es ESP,CC,22-115,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
382,Joaquín Panichelli,ar ARG,DL,21-159,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
383,Victor Parada,es ESP,"DL,CC",21-345,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Partidos
384,Total del equipo,,,26.4,28.0,406.0,250,194.0,165.0,47.0,203.0,448.0,45.3,245.0,264.0,80.0,184.0,197,603.0,622.0,3.0,
385,Total del oponente,,,28.1,28.0,410.0,259,193.0,178.0,39.0,186.0,434.0,42.9,248.0,295.0,94.0,201.0,170,580.0,615.0,11.0,
386,Lucas Ocampos,ar ARG,"DL,CC",29-247,23.0,43.0,29,13.0,16.0,14.0,16.0,30.0,53.3,14.0,26.0,1.0,25.0,12,55.0,16.0,0.0,Partidos
387,Loïc Bade,fr FRA,DF,23-338,18.0,43.0,28,36.0,7.0,0.0,22.0,34.0,64.7,12.0,20.0,13.0,7.0,27,70.0,92.0,1.0,Partidos
388,Youssef En-Nesyri,ma MAR,DL,26-287,19.0,7.0,5,2.0,3.0,2.0,0.0,5.0,0.0,5.0,6.0,0.0,6.0,4,11.0,15.0,1.0,Partidos
389,Sergio Ramos,es ESP,DF,37-350,18.0,32.0,19,23.0,7.0,2.0,19.0,28.0,67.9,9.0,20.0,17.0,3.0,29,61.0,94.0,0.0,Partidos
390,Djibril Sow,ch SUI,CC,27-037,16.1,28.0,21,15.0,8.0,5.0,9.0,24.0,37.5,15.0,20.0,3.0,17.0,17,45.0,8.0,1.0,Partidos
391,Jesús Navas,es ESP,DF,38-114,16.0,30.0,21,16.0,12.0,2.0,21.0,37.0,56.8,16.0,11.0,5.0,6.0,19,49.0,33.0,0.0,Partidos
392,Boubakary Soumaré,fr FRA,CC,25-016,16.4,24.0,19,13.0,11.0,0.0,7.0,15.0,46.7,8.0,14.0,4.0,10.0,17,41.0,15.0,1.0,Partidos
393,Ivan Rakitić,hr CRO,CC,36-004,15.8,30.0,16,9.0,12.0,9.0,11.0,19.0,57.9,8.0,16.0,5.0,11.0,14,44.0,12.0,0.0,Partidos
394,Nemanja Gudelj,rs SRB,DF,32-119,15.5,19.0,14,12.0,5.0,2.0,11.0,23.0,47.8,12.0,13.0,7.0,6.0,20,39.0,47.0,0.0,Partidos
395,Óliver Torres,es ESP,CC,29-125,14.4,30.0,16,15.0,10.0,5.0,19.0,50.0,38.0,31.0,30.0,3.0,27.0,5,35.0,4.0,0.0,Partidos
396,Ørjan Nyland,no NOR,PO,33-186,14.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,Partidos
397,Adrià Pedrosa,es ESP,DF,25-306,16.4,40.0,22,23.0,13.0,4.0,17.0,26.0,65.4,9.0,19.0,4.0,15.0,14,54.0,44.0,0.0,Partidos
398,Suso,es ESP,"CC,DL",30-116,13.6,19.0,13,12.0,7.0,0.0,5.0,14.0,35.7,9.0,8.0,0.0,8.0,4,23.0,3.0,0.0,Partidos
399,Marko Dmitrović,rs SRB,PO,32-050,13.0,1.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1,2.0,5.0,0.0,Partidos
400,Kike Salas,es ESP,DF,21-326,10.1,29.0,17,16.0,10.0,3.0,15.0,24.0,62.5,9.0,12.0,4.0,8.0,15,44.0,57.0,1.0,Partidos
401,Marcos Acuña,ar ARG,DF,32-138,8.1,17.0,12,12.0,5.0,0.0,5.0,6.0,83.3,1.0,7.0,1.0,6.0,4,21.0,12.0,0.0,Partidos
402,Juanlu Sánchez,es ESP,DF,20-212,11.3,49.0,31,28.0,17.0,4.0,30.0,48.0,62.5,18.0,23.0,6.0,17.0,10,59.0,33.0,0.0,Partidos
403,Dodi Lukebakio,be BEL,DL,26-172,8.4,4.0,2,2.0,1.0,1.0,1.0,5.0,20.0,4.0,7.0,2.0,5.0,2,6.0,1.0,0.0,Partidos
404,Isaac Bernal,es ESP,DL,23-301,7.7,,1,,,,,,,,,,,0,,,,Partidos
405,Fernando,br BRA,CC,36-233,5.1,9.0,8,2.0,4.0,3.0,5.0,9.0,55.6,4.0,2.0,0.0,2.0,7,16.0,9.0,0.0,Partidos
406,Érik Lamela,ar ARG,"DL,CC",32-010,4.2,17.0,11,3.0,9.0,5.0,8.0,13.0,61.5,5.0,10.0,0.0,10.0,1,18.0,5.0,0.0,Partidos
407,Joan Jordán,es ESP,CC,29-252,3.9,7.0,6,2.0,3.0,2.0,6.0,14.0,42.9,8.0,4.0,2.0,2.0,4,11.0,2.0,0.0,Partidos
408,Rafa Mir,es ESP,"DL,CC",26-270,4.3,2.0,2,1.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,0.0,2.0,1,3.0,1.0,0.0,Partidos
409,Marcão,br BRA,DF,27-283,3.4,8.0,5,4.0,4.0,0.0,5.0,9.0,55.6,4.0,8.0,6.0,2.0,3,11.0,7.0,1.0,Partidos
410,Mariano,do DOM,DL,30-226,2.4,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,1.0,2.0,0.0,Partidos
411,Tanguy Nianzou,fr FRA,DF,21-281,2.3,12.0,8,9.0,2.0,1.0,8.0,11.0,72.7,3.0,1.0,0.0,1.0,3,15.0,6.0,0.0,Partidos
412,Lucien Agoume,fr FRA,CC,22-034,1.7,4.0,3,2.0,2.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,2.0,2,6.0,0.0,0.0,Partidos
413,Hannibal Mejbri,tn TUN,CC,21-053,1.0,2.0,2,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0,0.0,Partidos
414,Yassine Bounou,ma MAR,PO,32-344,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
415,Adnan Januzaj,be BEL,"DL,CC",29-038,2.1,3.0,3,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1,4.0,0.0,0.0,Partidos
416,Diego Iturralde,es ESP,DF,20-333,0.4,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0,0.0,2.0,0.0,Partidos
417,Alejo Véliz,ar ARG,DL,20-177,0.3,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,Partidos
418,Manuel Sebastián,es ESP,CC,19-231,0.2,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,2.0,0,1.0,0.0,0.0,Partidos
419,Jesús Corona,mx MEX,"CC,DF",31-068,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,Partidos
420,Federico Gattoni,ar ARG,"DF,DL",25-027,0.1,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,Partidos
421,Total del equipo,,,29.4,28.0,512.0,336,276.0,171.0,65.0,246.0,455.0,54.1,209.0,287.0,84.0,203.0,237,749.0,531.0,6.0,
422,Total del oponente,,,27.9,28.0,424.0,260,198.0,174.0,52.0,204.0,431.0,47.3,227.0,293.0,74.0,219.0,177,601.0,738.0,6.0,
423,Predrag Rajković,rs SRB,PO,28-135,28.0,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,11.0,0.0,Partidos
424,Dani Rodríguez,es ESP,CC,35-282,22.1,40.0,21,18.0,16.0,6.0,20.0,41.0,48.8,21.0,28.0,5.0,23.0,12,52.0,16.0,0.0,Partidos
425,Martin Valjent,sk SVK,DF,28-094,20.5,27.0,17,17.0,8.0,2.0,15.0,25.0,60.0,10.0,24.0,11.0,13.0,24,51.0,89.0,1.0,Partidos
426,Samu Costa,pt POR,CC,23-108,20.9,75.0,41,31.0,42.0,2.0,37.0,78.0,47.4,41.0,27.0,13.0,14.0,30,105.0,51.0,3.0,Partidos
427,Giovanni González,uy URU,DF,29-176,20.3,54.0,37,30.0,22.0,2.0,28.0,61.0,45.9,33.0,19.0,3.0,16.0,21,75.0,43.0,2.0,Partidos
428,Matija Nastasić,rs SRB,DF,30-352,19.1,26.0,12,18.0,8.0,0.0,16.0,23.0,69.6,7.0,28.0,16.0,12.0,22,48.0,84.0,0.0,Partidos
429,Vedat Muriqi,xk KVX,DL,29-325,17.7,9.0,5,4.0,2.0,3.0,2.0,11.0,18.2,9.0,5.0,3.0,2.0,5,14.0,22.0,0.0,Partidos
430,Antonio Sánchez,es ESP,CC,27-073,12.7,21.0,8,10.0,9.0,2.0,10.0,28.0,35.7,18.0,20.0,5.0,15.0,9,30.0,10.0,0.0,Partidos
431,Sergi Darder,es ESP,CC,30-083,18.1,31.0,21,11.0,16.0,4.0,8.0,21.0,38.1,13.0,18.0,4.0,14.0,15,46.0,10.0,0.0,Partidos
432,Antonio Raillo,es ESP,DF,32-158,15.4,18.0,15,11.0,7.0,0.0,11.0,16.0,68.8,5.0,32.0,23.0,9.0,19,37.0,62.0,1.0,Partidos
433,Cyle Larin,ca CAN,DL,28-332,15.5,15.0,7,5.0,3.0,7.0,2.0,5.0,40.0,3.0,13.0,4.0,9.0,2,17.0,13.0,0.0,Partidos
434,Jaume Costa,es ESP,DF,35-362,13.9,33.0,19,20.0,9.0,4.0,17.0,27.0,63.0,10.0,13.0,4.0,9.0,13,46.0,23.0,0.0,Partidos
435,Pablo Maffeo,es ESP,DF,26-246,12.5,27.0,15,14.0,9.0,4.0,20.0,36.0,55.6,16.0,7.0,1.0,6.0,8,35.0,18.0,0.0,Partidos
436,Toni Lato,es ESP,DF,26-114,12.9,29.0,19,15.0,11.0,3.0,12.0,23.0,52.2,11.0,12.0,2.0,10.0,11,40.0,20.0,0.0,Partidos
437,Manu Morlanes,es ESP,CC,25-062,12.7,32.0,20,17.0,14.0,1.0,16.0,37.0,43.2,21.0,9.0,1.0,8.0,11,43.0,18.0,0.0,Partidos
438,Omar Mascarell,es ESP,CC,31-041,11.7,24.0,13,10.0,14.0,0.0,13.0,26.0,50.0,13.0,12.0,3.0,9.0,23,47.0,24.0,1.0,Partidos
439,Copete,es ESP,DF,24-156,10.4,31.0,16,20.0,11.0,0.0,21.0,28.0,75.0,7.0,10.0,5.0,5.0,22,53.0,32.0,1.0,Partidos
440,Abdón Prats,es ESP,DL,31-098,10.4,4.0,3,1.0,2.0,1.0,2.0,4.0,50.0,2.0,4.0,1.0,3.0,2,6.0,9.0,0.0,Partidos
441,Siebe Van Der Heyden,be BEL,DF,25-289,3.2,9.0,2,7.0,2.0,0.0,4.0,6.0,66.7,2.0,1.0,1.0,0.0,7,16.0,12.0,0.0,Partidos
442,Amath,sn SEN,"DL,CC",27-242,4.4,9.0,6,7.0,2.0,0.0,2.0,10.0,20.0,8.0,2.0,0.0,2.0,3,12.0,6.0,0.0,Partidos
443,Nacho Vidal,es ESP,DF,29-050,1.9,4.0,1,1.0,2.0,1.0,2.0,5.0,40.0,3.0,1.0,0.0,1.0,2,6.0,4.0,0.0,Partidos
444,Nemanja Radonjić,rs SRB,CC,28-028,0.9,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1.0,0.0,0.0,Partidos
445,Javier Llabrés,es ESP,"CC,DL",21-185,1.9,2.0,0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,1,3.0,3.0,0.0,Partidos
446,Total del equipo,,,29.2,28.0,521.0,299,269.0,210.0,42.0,260.0,514.0,50.6,254.0,287.0,105.0,182.0,263,784.0,580.0,9.0,
447,Total del oponente,,,27.6,28.0,371.0,217,159.0,163.0,49.0,149.0,335.0,44.5,186.0,272.0,77.0,195.0,225,596.0,609.0,9.0,
448,Stole Dimitrievski,mk MKD,PO,30-080,28.0,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,12.0,3.0,Partidos
449,Florian Lejeune,fr FRA,DF,32-299,28.0,22.0,12,14.0,7.0,1.0,10.0,19.0,52.6,9.0,25.0,11.0,14.0,15,37.0,124.0,1.0,Partidos
450,Alfonso Espino,uy URU,DF,32-069,24.1,57.0,38,34.0,21.0,2.0,25.0,69.0,36.2,44.0,20.0,1.0,19.0,37,94.0,53.0,0.0,Partidos
451,Isaac Palazón Camacho,es ESP,"CC,DL",29-078,23.2,35.0,18,13.0,17.0,5.0,14.0,40.0,35.0,26.0,24.0,1.0,23.0,15,50.0,32.0,0.0,Partidos
